Physical Time: Physical Time (s),star
0.547,1473.708518
0.5475,1473.708386
0.548,1473.708253
0.5485,1473.70812
0.549,1473.707987
0.5495,1473.707853
0.55,1473.707719
0.5505,1473.707585
0.551,1473.70745
0.5515,1473.707315
0.552,1473.707179
0.5525,1473.707043
0.553,1473.706907
0.5535,1473.706771
0.554,1473.706634
0.5545,1473.706497
0.555,1473.70636
0.5555,1473.706222
0.556,1473.706084
0.5565,1473.705946
0.557,1473.705807
0.5575,1473.705668
0.558,1473.705529
0.5585,1473.705389
0.559,1473.705249
0.5595,1473.705109
0.56,1473.704969
0.5605,1473.704828
0.561,1473.704687
0.5615,1473.704545
0.562,1473.704404
0.5625,1473.704262
0.563,1473.704119
0.5635,1473.703977
0.564,1473.703834
0.5645,1473.703691
0.565,1473.703547
0.5655,1473.703403
0.566,1473.703259
0.5665,1473.703115
0.567,1473.70297
0.5675,1473.702825
0.568,1473.70268
0.5685,1473.702535
0.569,1473.702389
0.5695,1473.702243
0.57,1473.702097
0.5705,1473.70195
0.571,1473.701803
0.5715,1473.701656
0.572,1473.701509
0.5725,1473.701361
0.573,1473.701213
0.5735,1473.701065
0.574,1473.700916
0.5745,1473.700768
0.575,1473.700619
0.5755,1473.700469
0.576,1473.70032
0.5765,1473.70017
0.577,1473.70002
0.5775,1473.69987
0.578,1473.699719
0.5785,1473.699568
0.579,1473.699417
0.5795,1473.699266
0.58,1473.699114
0.5805,1473.698963
0.581,1473.698811
0.5815,1473.698658
0.582,1473.698506
0.5825,1473.698353
0.583,1473.6982
0.5835,1473.698047
0.584,1473.697893
0.5845,1473.697739
0.585,1473.697585
0.5855,1473.697431
0.586,1473.697277
0.5865,1473.697122
0.587,1473.696967
0.5875,1473.696812
0.588,1473.696657
0.5885,1473.696501
0.589,1473.696345
0.5895,1473.696189
0.59,1473.696033
0.5905,1473.695876
0.591,1473.695719
0.5915,1473.695562
0.592,1473.695405
0.5925,1473.695248
0.593,1473.69509
0.5935,1473.694932
0.594,1473.694774
0.5945,1473.694616
0.595,1473.694458
0.5955,1473.694299
0.596,1473.69414
0.5965,1473.693981
0.597,1473.693822
0.5975,1473.693662
0.598,1473.693502
0.5985,1473.693342
0.599,1473.693182
0.5995,1473.693022
0.6,1473.692861
0.6005,1473.692701
0.601,1473.69254
0.6015,1473.692379
0.602,1473.692217
0.6025,1473.692056
0.603,1473.691894
0.6035,1473.691732
0.604,1473.69157
0.6045,1473.691407
0.605,1473.691245
0.6055,1473.691082
0.606,1473.690919
0.6065,1473.690756
0.607,1473.690593
0.6075,1473.69043
0.608,1473.690266
0.6085,1473.690102
0.609,1473.689938
0.6095,1473.689774
0.61,1473.689609
0.6105,1473.689445
0.611,1473.68928
0.6115,1473.689115
0.612,1473.68895
0.6125,1473.688785
0.613,1473.688619
0.6135,1473.688454
0.614,1473.688288
0.6145,1473.688122
0.615,1473.687956
0.6155,1473.68779
0.616,1473.687623
0.6165,1473.687457
0.617,1473.68729
0.6175,1473.687123
0.618,1473.686956
0.6185,1473.686788
0.619,1473.686621
0.6195,1473.686453
0.62,1473.686285
0.6205,1473.686117
0.621,1473.685949
0.6215,1473.685781
0.622,1473.685613
0.6225,1473.685444
0.623,1473.685275
0.6235,1473.685106
0.624,1473.684937
0.6245,1473.684768
0.625,1473.684599
0.6255,1473.684429
0.626,1473.684259
0.6265,1473.68409
0.627,1473.68392
0.6275,1473.68375
0.628,1473.683579
0.6285,1473.683409
0.629,1473.683238
0.6295,1473.683068
0.63,1473.682897
0.6305,1473.682726
0.631,1473.682555
0.6315,1473.682383
0.632,1473.682212
0.6325,1473.68204
0.633,1473.681869
0.6335,1473.681697
0.634,1473.681525
0.6345,1473.681353
0.635,1473.68118
0.6355,1473.681008
0.636,1473.680836
0.6365,1473.680663
0.637,1473.68049
0.6375,1473.680317
0.638,1473.680144
0.6385,1473.679971
0.639,1473.679798
0.6395,1473.679624
0.64,1473.679451
0.6405,1473.679277
0.641,1473.679103
0.6415,1473.678929
0.642,1473.678755
0.6425,1473.678581
0.643,1473.678407
0.6435,1473.678232
0.644,1473.678058
0.6445,1473.677883
0.645,1473.677708
0.6455,1473.677533
0.646,1473.677358
0.6465,1473.677183
0.647,1473.677008
0.6475,1473.676832
0.648,1473.676657
0.6485,1473.676481
0.649,1473.676305
0.6495,1473.67613
0.65,1473.675954
0.6505,1473.675778
0.651,1473.675601
0.6515,1473.675425
0.652,1473.675249
0.6525,1473.675072
0.653,1473.674896
0.6535,1473.674719
0.654,1473.674542
0.6545,1473.674365
0.655,1473.674188
0.6555,1473.674011
0.656,1473.673834
0.6565,1473.673656
0.657,1473.673479
0.6575,1473.673301
0.658,1473.673123
0.6585,1473.672946
0.659,1473.672768
0.6595,1473.67259
0.66,1473.672412
0.6605,1473.672234
0.661,1473.672055
0.6615,1473.671877
0.662,1473.671698
0.6625,1473.67152
0.663,1473.671341
0.6635,1473.671163
0.664,1473.670984
0.6645,1473.670805
0.665,1473.670626
0.6655,1473.670447
