Physical Time: Physical Time (s),star,cowan,parker,rectangle,star/ana
0.159,1473.4031700000,1473.191245,1473.213928,1473.19154144299,1.000122579
0.1595,1473.4048440000,1473.192213,1473.215077,1473.19250928958,1.000123123
0.16,1473.4065140000,1473.193179,1473.216224,1473.19347466533,1.000123665
0.1605,1473.4081770000,1473.194142,1473.217368,1473.19443755644,1.000124205
0.161,1473.4098360000,1473.195103,1473.218511,1473.19539794944,1.000124743
0.1615,1473.4114890000,1473.196061,1473.219651,1473.19635583126,1.000125279
0.162,1473.4131360000,1473.197017,1473.220789,1473.19731118918,1.000125814
0.1625,1473.4147780000,1473.19797,1473.221925,1473.19826401083,1.000126347
0.163,1473.4164150000,1473.19892,1473.223058,1473.19921428421,1.000126878
0.1635,1473.4180460000,1473.199868,1473.22419,1473.20016199764,1.000127408
0.164,1473.4196710000,1473.200814,1473.225319,1473.20110713980,1.000127935
0.1645,1473.4212920000,1473.201757,1473.226446,1473.20204969970,1.000128461
0.165,1473.4229060000,1473.202697,1473.22757,1473.20298966668,1.000128984
0.1655,1473.4245150000,1473.203635,1473.228692,1473.20392703041,1.000129507
0.166,1473.4261190000,1473.20457,1473.229812,1473.20486178086,1.000130027
0.1665,1473.4277170000,1473.205502,1473.23093,1473.20579390834,1.000130545
0.167,1473.4293100000,1473.206432,1473.232045,1473.20672340348,1.000131062
0.1675,1473.4308970000,1473.20736,1473.233158,1473.20765025717,1.000131577
0.168,1473.4324780000,1473.208284,1473.234268,1473.20857446066,1.00013209
0.1685,1473.4340550000,1473.209206,1473.235376,1473.20949600546,1.0001326
0.169,1473.4356250000,1473.210125,1473.236482,1473.21041488337,1.00013311
0.1695,1473.4371900000,1473.211042,1473.237585,1473.21133108651,1.000133617
0.17,1473.4387490000,1473.211956,1473.238686,1473.21224460725,1.000134123
0.1705,1473.4403030000,1473.212867,1473.239784,1473.21315543826,1.000134627
0.171,1473.4418520000,1473.213775,1473.24088,1473.21406357247,1.000135128
0.1715,1473.4433940000,1473.214681,1473.241974,1473.21496900310,1.000135628
0.172,1473.4449320000,1473.215584,1473.243065,1473.21587172363,1.000136126
0.1725,1473.4464630000,1473.216485,1473.244153,1473.21677172778,1.000136622
0.173,1473.4479890000,1473.217382,1473.245239,1473.21766900956,1.000137116
0.1735,1473.4495100000,1473.218277,1473.246323,1473.21856356323,1.000137609
0.174,1473.4510250000,1473.219169,1473.247404,1473.21945538327,1.000138099
0.1745,1473.4525340000,1473.220059,1473.248483,1473.22034446444,1.000138588
0.175,1473.4540380000,1473.220945,1473.249559,1473.22123080172,1.000139075
0.1755,1473.4555360000,1473.221829,1473.250632,1473.22211439036,1.00013956
0.176,1473.4570290000,1473.222711,1473.251703,1473.22299522580,1.000140043
0.1765,1473.4585160000,1473.223589,1473.252772,1473.22387330374,1.000140524
0.177,1473.4599980000,1473.224465,1473.253837,1473.22474862011,1.000141003
0.1775,1473.4614740000,1473.225338,1473.254901,1473.22562117105,1.000141481
